redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
103732,146821,128604,2627,24469,228,3119,409600,40.7365159101,-73.9882215714
185351,113283,91013,2141,9967,117,7728,409600,40.7365159151,-73.9892973956
103750,110188,168423,3891,15693,211,7444,409600,40.7365159151,-73.9892973956
123147,120065,131055,3875,25208,11,6239,409600,40.7365159151,-73.9892973956
145355,128512,106613,2883,23610,145,2482,409600,40.7365159151,-73.9892973956
148509,109562,118169,2798,25163,78,5321,409600,40.7365159201,-73.9903732197
76819,188145,118156,7628,13268,36,5548,409600,40.7365159201,-73.9903732197
165210,96393,122461,2597,18306,144,4489,409600,40.7365159201,-73.9903732197
63606,183345,122642,22257,11237,28,6485,409600,40.7365159201,-73.9903732197
153110,88056,134877,5131,20582,354,7490,409600,40.7365159251,-73.9914490439
156216,74739,151620,4236,15791,74,6924,409600,40.7365159251,-73.9914490439
133081,59432,187014,14273,11530,208,4062,409600,40.7365159251,-73.9914490439
135073,76570,173682,2470,12815,37,8953,409600,40.7365159251,-73.9914490439
57775,146146,179506,4537,12763,771,8102,409600,40.7365159301,-73.9925248681
165404,72545,145867,5857,6441,118,13368,409600,40.7365159301,-73.9925248681
82398,114022,173066,13605,15475,109,10925,409600,40.7365159301,-73.9925248681
87475,123387,185555,1673,5608,136,5766,409600,40.7365159301,-73.9925248681
136056,84387,162881,5546,12040,280,8410,409600,40.7365159351,-73.9936006923
174091,70908,144363,4396,10124,78,5640,409600,40.7365159351,-73.9936006923
129998,93876,153298,4635,17977,41,9775,409600,40.7365159351,-73.9936006923
206963,102462,78230,4192,13528,74,4151,409600,40.7365159351,-73.9936006923
118426,159989,106345,2878,17083,182,4697,409600,40.7365159401,-73.9946765164
175775,71095,145284,1484,13122,142,2698,409600,40.7365159401,-73.9946765164
71435,137592,171576,6632,17419,212,4734,409600,40.7365159401,-73.9946765164
157866,125310,93863,2074,27397,124,2966,409600,40.7365159401,-73.9946765164
175164,79760,134194,1312,9189,146,9835,409600,40.7365159451,-73.9957523406
